sentence,sentiment,preprocessed
i loooooooovvvvvveee my kindle not that the dx is cool but the is fantastic in its own right,1,"{'cleaned_text': 'loooooooovvvvvvee kindl dx cool fantast right', 'tokens': ['loooooooovvvvvvee', 'kindl', 'dx', 'cool', 'fantast', 'right'], 'pos_tags': [('loooooooovvvvvvee', 'PROPN'), ('kindl', 'PROPN'), ('dx', 'PROPN'), ('cool', 'PROPN'), ('fantast', 'PROPN'), ('right', 'NOUN')], 'named_entities': [('loooooooovvvvvvee kindl dx cool fantast', 'PERSON')]}"
reading my kindle love it lee childs is good read,1,"{'cleaned_text': 'read kindl love lee child good read', 'tokens': ['read', 'kindl', 'love', 'lee', 'child', 'good', 'read'], 'pos_tags': [('read', 'VERB'), ('kindl', 'PROPN'), ('love', 'PROPN'), ('lee', 'PROPN'), ('child', 'PROPN'), ('good', 'ADJ'), ('read', 'NOUN')], 'named_entities': [('lee', 'PERSON')]}"
ok first assesment of the kindle it fucking rocks,1,"{'cleaned_text': 'ok first ass kindl fuck rock', 'tokens': ['ok', 'first', 'ass', 'kindl', 'fuck', 'rock'], 'pos_tags': [('ok', 'INTJ'), ('first', 'ADJ'), ('ass', 'PROPN'), ('kindl', 'NOUN'), ('fuck', 'NOUN'), ('rock', 'NOUN')], 'named_entities': [('first', 'ORDINAL')]}"
you ll love your kindle i ve had mine for a few months and never looked back the new big one is huge no need for remorse,1,"{'cleaned_text': 'love kindl mine month never look back new big one huge need remors', 'tokens': ['love', 'kindl', 'mine', 'month', 'never', 'look', 'back', 'new', 'big', 'one', 'huge', 'need', 'remors'], 'pos_tags': [('love', 'VERB'), ('kindl', 'PROPN'), ('mine', 'PROPN'), ('month', 'NOUN'), ('never', 'ADV'), ('look', 'VERB'), ('back', 'ADV'), ('new', 'ADJ'), ('big', 'ADJ'), ('one', 'NUM'), ('huge', 'ADJ'), ('need', 'NOUN'), ('remors', 'NOUN')], 'named_entities': []}"
fair enough but i have the kindle and i think it s perfect,1,"{'cleaned_text': 'fair enough kindl think perfect', 'tokens': ['fair', 'enough', 'kindl', 'think', 'perfect'], 'pos_tags': [('fair', 'ADJ'), ('enough', 'ADJ'), ('kindl', 'NOUN'), ('think', 'VERB'), ('perfect', 'ADJ')], 'named_entities': []}"
no it is too big i m quite happy with the kindle,1,"{'cleaned_text': 'big quit happi kindl', 'tokens': ['big', 'quit', 'happi', 'kindl'], 'pos_tags': [('big', 'PROPN'), ('quit', 'NOUN'), ('happi', 'NOUN'), ('kindl', 'NOUN')], 'named_entities': []}"
fuck this economy i hate aig and their non loan given asses,0,"{'cleaned_text': 'fuck economi hate aig non loan given as', 'tokens': ['fuck', 'economi', 'hate', 'aig', 'non', 'loan', 'given', 'as'], 'pos_tags': [('fuck', 'PROPN'), ('economi', 'NOUN'), ('hate', 'VERB'), ('aig', 'PROPN'), ('non', 'PROPN'), ('loan', 'NOUN'), ('given', 'VERB'), ('as', 'ADP')], 'named_entities': [('aig non', 'PERSON')]}"
jquery is my new best friend,1,"{'cleaned_text': 'jqueri new best friend', 'tokens': ['jqueri', 'new', 'best', 'friend'], 'pos_tags': [('jqueri', 'ADJ'), ('new', 'ADJ'), ('best', 'ADJ'), ('friend', 'NOUN')], 'named_entities': [('jqueri', 'NORP')]}"
loves twitter,1,"{'cleaned_text': 'love twitter', 'tokens': ['love', 'twitter'], 'pos_tags': [('love', 'NOUN'), ('twitter', 'NOUN')], 'named_entities': []}"
how can you not love obama he makes jokes about himself,1,"{'cleaned_text': 'love obama make joke', 'tokens': ['love', 'obama', 'make', 'joke'], 'pos_tags': [('love', 'VERB'), ('obama', 'PROPN'), ('make', 'VERB'), ('joke', 'NOUN')], 'named_entities': []}"
i firmly believe that obama pelosi have zero desire to be civil it s a charade and a slogan but they want to destroy conservatism,0,"{'cleaned_text': 'firmli believ obama pelosi zero desir civil charad slogan want destroy conservat', 'tokens': ['firmli', 'believ', 'obama', 'pelosi', 'zero', 'desir', 'civil', 'charad', 'slogan', 'want', 'destroy', 'conservat'], 'pos_tags': [('firmli', 'PROPN'), ('believ', 'VERB'), ('obama', 'PROPN'), ('pelosi', 'PROPN'), ('zero', 'NUM'), ('desir', 'NOUN'), ('civil', 'ADJ'), ('charad', 'PROPN'), ('slogan', 'PROPN'), ('want', 'AUX'), ('destroy', 'VERB'), ('conservat', 'NOUN')], 'named_entities': [('firmli believ', 'PERSON'), ('zero', 'CARDINAL')]}"
